City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oriximina,-1.7656,-55.8661,31.8,37,26,1.38,BR,1694815742
1,olonkinbyen,70.9221,-8.7187,3.2,76,8,5.29,SJ,1694815743
2,paphos,34.7667,32.4167,21.88,60,0,3.09,CY,1694815743
3,chos malal,-37.3781,-70.2709,13.55,54,36,13.0,AR,1694815744
4,edinburgh of the seven seas,-37.0676,-12.3116,14.38,94,63,10.43,SH,1694815745
5,panjab,34.388,67.0233,10.23,44,0,2.53,AF,1694815745
6,albany,42.6001,-73.9662,18.78,61,100,1.34,US,1694815483
7,fale old settlement,-9.3852,-171.2468,28.44,74,17,5.82,TK,1694815746
8,puerto natales,-51.7236,-72.4875,3.38,77,9,2.93,CL,1694815746
9,bilibino,68.0546,166.4372,2.4,97,100,0.38,RU,1694815747
10,polewali,-3.4324,119.3435,23.55,85,76,1.47,ID,1694815747
11,ushuaia,-54.8,-68.3,1.66,98,100,1.58,AR,1694815748
12,ayaviri,-14.8864,-70.5889,16.55,19,94,0.56,PE,1694815748
13,waitangi,-43.9535,-176.5597,11.01,74,100,4.47,NZ,1694815720
14,papatowai,-46.5619,169.4708,13.45,42,100,6.5,NZ,1694815749
15,grytviken,-54.2811,-36.5092,0.44,98,100,4.7,GS,1694815749
16,port-aux-francais,-49.35,70.2167,5.95,90,100,19.69,TF,1694815750
17,west island,-12.1568,96.8225,24.99,73,40,5.14,CC,1694815750
18,angra do heroismo,38.65,-27.2167,21.34,68,40,2.68,PT,1694815592
19,tolanaro,-25.0319,46.9987,21.08,88,1,7.13,MG,1694815751
20,lerwick,60.1545,-1.1494,11.0,86,100,3.84,GB,1694815751
21,tyukhtet,56.5389,89.3011,8.96,95,22,1.79,RU,1694815752
22,wabag,-5.4781,143.7021,13.76,92,100,0.58,PG,1694815752
23,manta,-0.95,-80.7333,27.88,65,75,4.12,EC,1694815753
24,avarua,-21.2078,-159.775,26.03,73,30,6.69,CK,1694815753
25,awjilah,29.1081,21.2869,25.45,26,0,2.84,LY,1694815754
26,whitehorse,60.7161,-135.0538,12.28,38,14,6.71,CA,1694815754
27,puerto aysen,-45.4,-72.7,4.71,99,100,1.62,CL,1694815755
28,college,64.8569,-147.8028,13.58,72,75,1.54,US,1694815755
29,iskateley,67.6803,53.1512,3.3,89,94,2.81,RU,1694815756
30,namest nad oslavou,49.2073,16.1585,16.22,74,0,3.58,CZ,1694815756
31,yellowknife,62.456,-114.3525,17.45,66,71,4.02,CA,1694815756
32,qaqortoq,60.7167,-46.0333,7.19,96,100,2.5,GL,1694815757
33,tela,15.7833,-87.45,31.97,70,40,4.12,HN,1694815757
34,adamstown,-25.066,-130.1015,17.65,85,100,10.41,PN,1694815758
35,ajaccio,42.0,8.9167,18.03,68,0,2.57,FR,1694815758
36,hamilton,39.1834,-84.5333,25.55,45,0,3.6,US,1694815758
37,ust-nera,64.5667,143.2,3.01,74,46,2.69,RU,1694815759
38,isafjordur,66.0755,-23.124,7.25,84,72,2.34,IS,1694815759
39,invercargill,-46.4,168.35,12.79,53,100,6.26,NZ,1694815760
40,nar'yan-mar,67.6713,53.087,3.35,88,93,2.79,RU,1694815760
41,tiksi,71.6872,128.8694,-0.05,89,98,3.96,RU,1694815760
42,verkhniy tagil,57.3733,59.9556,10.21,86,77,0.76,RU,1694815761
43,san patricio,28.017,-97.5169,36.21,46,79,5.38,US,1694815761
44,teluknaga,-6.0989,106.6381,27.16,83,20,2.57,ID,1694815762
45,mount pearl,47.5166,-52.7813,20.81,95,100,4.12,CA,1694815762
46,kununurra,-15.7667,128.7333,17.99,55,68,1.03,AU,1694815763
47,blackmans bay,-43.0167,147.3167,10.07,88,98,2.96,AU,1694815763
48,deqen,29.9618,90.7188,7.51,77,13,1.13,CN,1694815763
49,byerazino,53.8391,28.9879,8.71,83,14,2.39,BY,1694815764
50,susuman,62.7833,148.1667,3.97,67,51,1.12,RU,1694815764
51,touros,-5.1989,-35.4608,24.73,80,0,6.3,BR,1694815709
52,saint-philippe,-21.3585,55.7679,20.77,77,36,4.58,RE,1694815765
53,island harbour,50.724,-1.2758,17.21,92,27,3.93,GB,1694815765
54,stanley,54.868,-1.6985,13.73,91,100,4.11,GB,1694815766
55,badger,64.8,-147.5333,13.53,72,75,1.54,US,1694815766
56,leshan,29.5623,103.7639,23.07,91,100,1.83,CN,1694815767
57,hornsby bend,30.2474,-97.5833,33.19,58,75,3.6,US,1694815767
58,bredasdorp,-34.5322,20.0403,10.18,64,55,9.72,ZA,1694815768
59,iqaluit,63.7506,-68.5145,3.72,63,69,10.73,CA,1694815768
60,bubaque,11.2833,-15.8333,27.82,82,48,5.6,GW,1694815769
61,chagoda,59.164,35.3285,7.22,97,71,1.94,RU,1694815769
62,arkhangel'sk,64.5401,40.5433,6.24,85,100,1.78,RU,1694815770
63,springbok,-29.6643,17.8865,7.75,90,100,5.0,ZA,1694815770
64,nelson bay,-32.7167,152.15,20.0,68,0,1.34,AU,1694815771
65,ribeira grande,38.5167,-28.7,20.99,71,100,6.71,PT,1694815771
66,mapimi,25.8167,-103.85,31.47,29,32,3.28,MX,1694815771
67,atafu village,-8.5421,-172.5159,28.49,75,18,5.93,TK,1694815772
68,saipan,15.1355,145.701,29.39,84,20,5.66,MP,1694815772
69,quepos,9.4236,-84.1652,28.41,77,100,1.53,CR,1694815500
70,wailua homesteads,22.0669,-159.378,28.4,67,40,4.63,US,1694815773
71,anastacio,-20.4836,-55.8069,25.36,49,0,1.77,BR,1694815773
72,dawei,14.0833,98.2,24.48,97,100,5.48,MM,1694815774
73,thompson,55.7435,-97.8558,8.65,83,100,4.32,CA,1694815774
74,constantia,44.1833,28.65,21.38,67,87,0.53,RO,1694815543
75,georgetown,5.4112,100.3354,25.96,92,20,1.03,MY,1694815523
76,heunghae,36.1125,129.3522,22.93,93,17,1.08,KR,1694815775
77,mata-utu,-13.2816,-176.1745,27.81,77,100,7.02,WF,1694815776
78,box elder,41.5005,-112.8764,21.85,29,0,1.11,US,1694815776
79,srikakulam,18.3,83.9,26.45,84,100,2.45,IN,1694815777
80,rouissat,31.9243,5.3502,32.11,19,77,4.15,DZ,1694815777
81,puyang chengguanzhen,35.7028,115.0053,19.22,67,1,2.56,CN,1694815778
82,coquimbo,-29.9533,-71.3436,17.71,70,0,1.9,CL,1694815778
83,hauterive,46.0901,3.4459,21.42,63,94,3.2,FR,1694815778
84,tshikapa,-6.4167,20.8,27.05,45,51,0.82,CD,1694815779
85,lihue,21.9789,-159.3672,28.58,68,40,4.63,US,1694815498
86,port mathurin,-19.6833,63.4167,22.8,73,79,6.95,MU,1694815780
87,darwin,-12.4611,130.8418,22.99,83,0,2.57,AU,1694815640
88,longyearbyen,78.2186,15.6401,1.91,80,75,6.17,SJ,1694815780
89,magdagachi,53.45,125.8,5.23,72,6,1.57,RU,1694815781
90,haiku-pauwela,20.9219,-156.3051,29.01,62,20,10.29,US,1694815781
91,uturoa,-16.7333,-151.4333,25.07,81,86,9.0,PF,1694815782
92,callaway,30.153,-85.5699,31.66,68,100,1.54,US,1694815782
93,north bend,43.4065,-124.2243,24.03,82,100,8.75,US,1694815783
94,inari,68.906,27.0288,5.11,84,94,2.64,FI,1694815783
95,vilyuchinsk,52.9306,158.4028,6.15,62,100,2.49,RU,1694815783
96,nouadhibou,20.931,-17.0347,21.99,83,97,8.75,MR,1694815784
97,port elizabeth,-33.918,25.5701,13.94,87,20,14.4,ZA,1694815498
98,kavaratti,10.5669,72.642,27.2,80,100,5.22,IN,1694815785
99,hawaiian paradise park,19.5933,-154.9731,29.73,73,0,4.63,US,1694815785
100,palapag,12.5458,125.1147,24.81,90,11,1.19,PH,1694815785
101,laguna,38.421,-121.4238,34.62,42,0,2.57,US,1694815786
102,keflavik,64.0049,-22.5624,8.24,93,75,2.57,IS,1694815786
103,karwar,14.8,74.1333,25.06,89,100,2.73,IN,1694815787
104,compostela,7.6731,126.0889,23.93,95,90,0.28,PH,1694815787
105,winburg,-28.518,27.0093,9.47,18,0,2.68,ZA,1694815787
106,waddan,29.1614,16.139,24.73,39,0,5.27,LY,1694815788
107,hami,42.8,93.45,17.67,39,99,4.73,CN,1694815788
108,lebu,-37.6167,-73.65,12.49,98,100,7.2,CL,1694815789
109,newman,37.3138,-121.0208,33.36,20,3,1.78,US,1694815789
110,punta arenas,-53.15,-70.9167,5.06,56,40,7.72,CL,1694815790
111,ilulissat,69.2167,-51.1,3.01,75,75,1.03,GL,1694815790
112,hithadhoo,-0.6,73.0833,28.07,77,35,5.43,MV,1694815792
113,sao vicente,-23.9631,-46.3919,20.1,78,88,3.79,BR,1694815793
114,agbabu,6.5886,4.8343,23.73,98,99,1.25,NG,1694815793
115,fisterra,42.9049,-9.2629,17.79,91,98,6.3,ES,1694815794
116,verkhnevilyuysk,63.4453,120.3167,3.98,63,100,6.28,RU,1694815794
117,bethel,41.3712,-73.414,20.01,72,0,3.6,US,1694815516
118,tarnogskiy gorodok,60.4997,43.5761,11.08,97,57,0.74,RU,1694815795
119,san jose,37.3394,-121.895,30.27,53,0,5.14,US,1694815675
120,asmar,35.0333,71.3581,25.48,67,43,2.04,AF,1694815796
121,utrik,11.2278,169.8474,28.64,77,20,6.58,MH,1694815796
122,port-vila,-17.7338,168.3219,24.78,83,75,3.09,VU,1694815796
123,jiexiu,37.0244,111.9125,18.68,69,98,1.19,CN,1694815797
124,altamira,-3.2033,-52.2064,32.84,35,76,1.6,BR,1694815797
125,nizhnesortymskiy,62.4397,71.7603,12.09,76,34,3.23,RU,1694815798
126,steamboat springs,40.485,-106.8317,21.42,32,75,2.57,US,1694815506
127,escada,-8.3592,-35.2236,25.41,89,33,1.79,BR,1694815799
128,bergama,39.1207,27.1805,20.91,42,0,3.19,TR,1694815799
129,plastun,44.7561,136.2939,15.7,71,0,2.82,RU,1694815799
130,margaret river,-33.95,115.0667,14.04,89,100,2.4,AU,1694815800
131,st. john's,47.5649,-52.7093,21.27,95,100,4.12,CA,1694815607
132,montelimar,44.5584,4.7509,21.81,88,100,2.23,FR,1694815801
133,huayin,34.5675,110.0921,20.79,81,93,2.0,CN,1694815802
134,tomatlan,19.9333,-105.25,31.56,67,33,4.0,MX,1694815802
135,onguday,50.75,86.15,7.23,89,98,0.41,RU,1694815803
136,thinadhoo,0.5333,72.9333,28.14,76,25,5.54,MV,1694815803
137,naze,28.3667,129.4833,25.93,85,84,3.74,JP,1694815804
138,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,81,75,3.0,RU,1694815804
139,guarapari,-20.6667,-40.4975,19.38,91,100,5.61,BR,1694815805
140,nova sintra,14.8667,-24.7167,23.95,77,18,4.57,CV,1694815806
141,taoudenni,22.6783,-3.9836,38.57,16,11,3.28,ML,1694815806
142,kodiak,57.79,-152.4072,10.73,100,100,2.57,US,1694815807
143,baker city,44.7749,-117.8344,28.84,27,0,4.63,US,1694815558
144,pangai,-19.8,-174.35,23.96,77,100,8.99,TO,1694815639
145,qalat,32.1058,66.9083,22.58,17,0,2.08,AF,1694815808
146,sarina,-21.4333,149.2167,21.82,1,10,5.98,AU,1694815808
147,pyt-yakh,60.7499,72.8582,11.48,86,9,1.19,RU,1694815809
148,vershino-darasunskiy,52.35,115.5167,4.51,65,100,0.75,RU,1694815809
149,ust-tsilma,65.441,52.1498,7.65,93,100,3.69,RU,1694815810
150,east london,-33.0153,27.9116,15.05,64,100,9.49,ZA,1694815810
151,bozkurt,41.9577,34.0109,18.8,49,39,1.48,TR,1694815810
152,vorgashor,67.5833,63.95,6.5,90,98,5.99,RU,1694815811
153,yuzhno-kurilsk,44.0306,145.8556,17.47,93,100,5.82,RU,1694815811
154,hermanus,-34.4187,19.2345,9.33,66,68,12.43,ZA,1694815540
155,bowen,-20.0167,148.2333,19.32,72,1,5.15,AU,1694815812
156,tyuratam,45.6507,63.3156,16.46,43,5,2.92,KZ,1694815813
157,senise,40.1471,16.2889,20.05,64,56,1.46,IT,1694815813
158,argo,37.6333,22.7333,24.55,44,98,1.14,GR,1694815814
159,lazaro cardenas,17.9583,-102.2,30.78,70,100,3.29,MX,1694815814
160,talara,-4.5772,-81.2719,25.42,65,0,6.79,PE,1694815890
161,weno,7.4515,151.8468,25.97,89,100,2.57,FM,1694815890
162,roxas,11.5853,122.7511,23.41,88,63,0.57,PH,1694815891
163,happy valley-goose bay,53.3168,-60.3315,8.82,87,98,1.39,CA,1694815891
164,geraldton,-28.7667,114.6,10.23,100,1,3.6,AU,1694815892
165,kill devil hills,36.0307,-75.676,22.77,60,75,6.69,US,1694815892
166,buy,58.4786,41.53,11.71,90,96,2.03,RU,1694815892
167,tome,-36.6167,-72.95,12.52,95,100,4.8,CL,1694815893
168,algeciras,36.1333,-5.4505,22.82,73,20,4.63,ES,1694815833
169,mao,39.8885,4.2658,24.31,94,40,5.14,ES,1694815894
170,ust'-kut,56.7938,105.7672,6.06,84,6,0.26,RU,1694815894
171,torghay,49.6339,63.4981,15.97,50,61,1.36,KZ,1694815894
172,ballina,-28.8667,153.5667,17.1,70,5,1.61,AU,1694815895
173,talnakh,69.4865,88.3972,3.45,88,100,2.81,RU,1694815895
174,pemangkat,1.1667,108.9667,25.61,85,97,1.67,ID,1694815895
175,chibougamau,49.9168,-74.3659,16.47,50,28,2.0,CA,1694815896
176,anadyr,64.75,177.4833,5.28,86,75,1.0,RU,1694815896
177,dudinka,69.4058,86.1778,3.68,93,100,3.63,RU,1694815896
